num_variables,num_initialized_vars,num_nonzero_initialized_vars,num_uint8,num_uint256,num_loops,num_payable_functions,num_mappings,num_arrays,gas_cost,optimization_level
180,18,1,1,79,26,1,6,0,0,0
105,11,6,0,47,0,0,3,0,0,1
51,4,1,0,0,4,0,0,0,0,0
43,0,0,1,16,0,0,3,0,0,0
27,1,0,0,3,1,0,0,0,0,0
3,2,0,0,2,1,0,0,0,0,0
91,2,0,1,36,3,0,3,0,0,0
61,0,0,1,19,7,0,3,0,0,0
39,2,0,0,2,0,0,3,0,0,0
48,1,0,1,14,6,0,3,0,0,0
108,5,0,1,39,6,0,4,0,0,0
74,0,0,1,1,5,0,3,0,0,0
74,0,0,1,1,4,0,3,0,0,0
205,11,0,2,38,6,0,5,0,0,0
58,0,0,1,18,2,0,3,0,0,0
40,5,0,0,25,1,0,0,0,0,0
74,0,0,1,1,5,0,3,0,0,0
93,12,0,34,0,15,0,1,0,0,0
91,2,0,1,36,3,0,3,0,0,0
90,4,0,1,34,3,0,3,0,0,0
168,6,0,4,21,20,1,3,0,0,0
0,0,0,0,0,0,0,0,0,0,0
76,0,0,1,1,6,0,3,0,0,0
2,0,0,0,0,1,0,1,0,0,0
57,1,0,2,23,1,0,3,0,0,0
12,0,0,0,0,0,0,0,0,0,0
162,18,0,0,77,24,1,4,0,0,0
34,0,0,1,12,2,0,3,0,0,0
40,5,0,0,25,1,0,0,0,0,0
209,19,0,3,82,15,0,5,0,0,0
47,1,0,1,13,6,0,3,0,0,0
132,16,0,0,37,7,0,4,0,0,0
63,0,0,2,29,0,0,3,0,0,0
85,4,0,1,15,2,0,3,0,0,0
74,0,0,1,1,5,0,3,0,0,0
40,5,0,0,25,1,0,0,0,0,0
120,2,0,1,42,3,0,3,0,0,0
46,1,0,0,13,4,0,3,0,0,0
524,63,4,6,347,35,1,19,0,0,0
48,1,0,1,14,6,0,3,0,0,0
114,4,0,2,0,5,2,6,0,0,0
74,0,0,1,1,5,0,3,0,0,0
217,23,0,18,37,16,1,13,0,0,0
108,5,0,1,39,6,0,4,0,0,0
64,1,0,1,22,8,0,3,0,0,0
35,5,0,0,22,2,1,0,0,0,0
16,2,0,0,0,1,0,0,0,0,0
290,11,0,2,46,31,8,7,0,0,0
40,7,0,0,10,0,0,0,0,0,0
16,4,2,0,8,0,0,1,0,0,1
29,1,0,1,9,1,0,3,0,0,0
119,7,0,1,47,6,0,5,0,0,0
5,0,0,0,0,0,0,0,0,0,0
40,5,0,0,25,1,0,0,0,0,0
10,0,0,1,5,0,0,3,0,0,0
51,4,1,0,0,4,0,0,0,0,0
140,0,0,0,4,3,0,6,0,0,0
116,10,0,0,44,2,1,3,0,0,0
21,4,0,0,5,3,0,1,0,0,0
10,0,0,1,5,1,0,3,0,0,0
40,5,0,0,25,1,0,0,0,0,0
14,0,0,0,7,0,0,0,0,0,0
47,1,0,1,13,6,0,3,0,0,0
0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,3,0,0,0,0,0,0
223,15,2,0,64,38,6,8,0,0,0
40,5,0,0,25,1,0,0,0,0,0
46,1,0,1,12,6,0,3,0,0,0
49,3,0,0,24,2,0,2,0,0,0
51,4,1,0,0,4,0,0,0,0,0
45,8,1,0,29,5,1,0,0,0,0
66,5,0,0,29,1,0,4,0,0,0
48,1,0,1,14,6,0,3,0,0,0
0,0,0,0,0,0,0,0,0,0,0
40,5,0,0,25,1,0,0,0,0,0
46,1,0,1,12,6,0,3,0,0,0
87,9,0,0,0,11,0,4,0,0,0
139,14,0,0,55,5,1,4,0,0,0
0,0,0,0,0,0,0,0,0,0,0
64,1,0,1,22,6,0,3,0,0,0
135,5,0,1,13,12,0,2,0,0,0
29,1,0,1,9,1,0,3,0,0,0
47,1,0,0,0,0,1,1,0,0,0
29,3,0,1,20,4,0,3,0,0,0
40,5,0,0,25,1,0,0,0,0,0
61,0,0,1,19,7,0,3,0,0,0
56,0,0,1,21,0,0,3,0,0,0
31,9,1,0,14,8,2,1,0,0,0
197,16,1,1,19,37,2,3,0,0,0
107,4,0,1,40,3,0,3,0,0,0
80,9,0,2,8,11,2,1,0,0,0
40,5,0,0,25,1,0,0,0,0,0
472,82,6,12,37,67,9,6,0,0,0
0,0,0,0,0,0,0,0,0,0,0
216,18,0,0,38,15,0,7,0,0,0
79,7,0,0,53,9,1,0,0,0,0
112,4,0,1,43,3,0,3,0,0,0
88,3,0,0,22,5,0,3,0,0,0
81,4,0,2,34,9,0,3,0,0,0
91,3,0,0,6,2,0,4,0,0,0
74,0,0,1,1,5,0,3,0,0,0
61,0,0,1,19,7,0,3,0,0,0
74,0,0,1,1,5,0,3,0,0,0
80,4,0,1,37,2,0,5,0,0,0
61,0,0,1,19,7,0,3,0,0,0
170,13,4,3,18,27,1,4,0,0,0
109,2,0,1,36,3,0,3,0,0,0
47,1,0,1,13,4,0,3,0,0,0
112,4,0,1,43,3,0,3,0,0,0
0,0,0,0,0,0,0,0,0,0,0
50,0,0,1,18,0,0,3,0,0,0
74,0,0,1,1,5,0,3,0,0,0
69,5,0,0,16,2,0,2,0,0,0
60,1,0,1,25,1,1,3,0,0,0
116,10,1,0,44,2,1,3,0,0,1
116,17,0,1,15,2,0,4,0,0,0
0,0,0,0,0,0,0,0,0,0,0
253,51,5,95,20,71,2,2,0,0,0
74,0,0,1,1,5,0,3,0,0,0
87,5,0,1,39,12,1,4,0,0,0
9,1,0,0,5,0,0,2,0,0,0
0,0,0,0,0,0,0,0,0,0,0
308,32,0,2,77,27,5,7,0,0,0
24,0,0,1,8,0,0,3,0,0,0
0,0,0,0,0,0,0,0,0,0,0
21,1,0,0,0,3,0,2,0,0,0
128,5,0,2,41,8,0,3,0,0,0
100,5,0,1,35,4,1,3,0,0,0
94,1,0,2,27,3,0,3,0,0,0
1,0,0,0,0,0,0,0,0,0,0
74,0,0,1,1,5,0,3,0,0,0
111,6,0,2,40,10,0,3,0,0,0
29,1,0,1,9,1,0,3,0,0,0
48,1,0,1,14,6,0,3,0,0,0
0,0,0,0,0,0,0,0,0,0,0
71,7,0,0,40,2,2,0,0,0,0
158,5,0,1,57,1,0,6,0,0,0
40,5,0,0,25,1,0,0,0,0,0
23,5,1,0,9,6,3,2,0,0,0
54,0,0,3,17,0,0,4,0,0,0
143,14,0,0,44,3,2,4,0,0,0
15,3,0,0,0,0,0,0,0,0,0
40,5,0,0,25,1,0,0,0,0,0
56,5,0,0,44,4,0,2,0,0,0
230,0,0,4,8,13,1,1,0,0,0
61,0,0,1,19,7,0,3,0,0,0
61,0,0,1,19,7,0,3,0,0,0
101,6,0,0,39,3,0,3,0,0,0
60,1,0,1,25,1,1,3,0,0,0
343,63,5,3,38,37,7,3,0,0,0
124,15,0,1,51,6,1,4,0,0,0
47,1,0,1,13,6,0,3,0,0,0
40,5,0,0,25,1,0,0,0,0,0
